	Name Last High Low Change %Change Volume Date
 	Ulta Beauty	303.00	306.87	302.00	+0.60	+0.20%	807.14K	30/05	 
 	Under Armour A	19.56	20.02	19.52	-0.13	-0.66%	2.56M	30/05	 
 	Under Armour C	18.010	18.370	17.910	-0.060	-0.33%	2.48M	30/05	 
 	Union Pacific	110.81	111.04	109.80	+0.24	+0.22%	2.96M	30/05	 
 	United Continental	79.25	80.95	79.01	-2.00	-2.46%	3.43M	30/05	 
 	United Dominion	38.34	38.54	38.23	+0.01	+0.03%	896.33K	30/05	 
 	United Parcel Service	106.81	107.41	105.27	+0.94	+0.89%	2.40M	30/05	 
 	United Rentals	110.65	112.07	109.97	-0.52	-0.47%	1.12M	30/05	 
 	United Technologies	121.27	121.93	121.14	-0.58	-0.48%	2.67M	30/05	 
 	UnitedHealth	176.59	178.08	176.24	-0.91	-0.51%	2.29M	30/05	 
 	Universal Health Services	115.13	116.23	115.10	-0.84	-0.72%	537.20K	30/05	 
 	Unum	45.01	45.19	44.76	-0.04	-0.09%	1.41M	30/05	 
 	Urban Outfitters	19.01	19.24	18.92	-0.06	-0.31%	1.96M	30/05	 
 	US Bancorp	51.10	51.24	50.80	-0.34	-0.66%	5.92M	30/05	 
 	Valero Energy	62.09	62.79	60.69	-0.36	-0.58%	6.57M	30/05	 
 	Varian	98.78	98.85	97.37	+0.91	+0.93%	742.51K	30/05	 
 	Ventas	66.54	66.87	66.21	-0.04	-0.06%	1.11M	30/05	 
 	VeriSign	90.64	90.81	89.92	+0.50	+0.55%	939.87K	30/05	 
 	Verisk	81.05	81.24	80.09	+0.50	+0.62%	765.46K	30/05	 
 	Verizon	46.20	46.33	45.26	+0.88	+1.94%	16.44M	30/05	 
 	Vertex Pharmaceuticals	120.39	120.99	119.19	+0.47	+0.39%	1.63M	30/05	 
 	VF	53.78	54.22	53.62	+0.07	+0.13%	2.42M	30/05	 
 	Viacom B	35.05	35.20	34.60	-0.08	-0.23%	3.54M	30/05	 
 	Visa	94.72	94.88	94.34	+0.05	+0.05%	6.29M	30/05	 
 	Vornado	92.15	93.11	92.05	-0.37	-0.40%	675.46K	30/05	 
 	Vulcan Materials	125.05	125.97	124.29	-1.38	-1.09%	897.42K	30/05	 
 	Wal-Mart Stores	78.15	78.40	77.93	+0.02	+0.03%	5.41M	30/05	 
 	Walgreens Boots Alliance	80.16	81.11	80.13	-1.09	-1.34%	4.08M	30/05	 
 	Walt Disney	108.34	108.60	107.95	-0.07	-0.06%	4.81M	30/05	 
 	Waste Management	72.14	72.25	71.62	+0.30	+0.42%	1.37M	30/05	 
 	Waters	178.56	178.95	177.63	+0.49	+0.28%	418.91K	30/05	 
 	WEC Energy	62.57	62.71	62.34	+0.12	+0.19%	1.27M	30/05	 
 	Wells Fargo&Co	52.16	52.50	51.90	-0.25	-0.48%	19.38M	30/05	 
 	Welltower Inc	72.50	72.97	72.34	-0.03	-0.04%	1.25M	30/05	 
 	Western Digital	91.29	92.27	89.84	+1.28	+1.42%	3.35M	30/05	 
 	Western Union	19.18	19.21	18.93	+0.11	+0.58%	3.45M	30/05	 
 	WestRock Co	55.05	55.38	54.77	-0.10	-0.18%	1.20M	30/05	 
 	Weyerhaeuser	33.14	33.41	32.86	+0.13	+0.39%	4.45M	30/05	 
 	Whirlpool	183.20	183.88	178.74	+4.07	+2.27%	761.86K	30/05	 
